[+0.0000000000000e+00, +0.0000000000000e+00]
[-1.3674103012050e+07, -1.3674103012050e+07]
[-1.3673033143091e+07, -1.3673033143091e+07]
[-1.3671961332424e+07, -1.3671961332424e+07]
[-1.3670887585911e+07, -1.3670887585911e+07]
[-1.3669811909423e+07, -1.3669811909423e+07]
[-1.3668734308835e+07, -1.3668734308835e+07]
[-1.3667654790027e+07, -1.3667654790027e+07]
[-1.3666573358888e+07, -1.3666573358888e+07]
[-1.3665490021308e+07, -1.3665490021308e+07]
[-1.3664404783187e+07, -1.3664404783187e+07]
[-1.3663317650426e+07, -1.3663317650426e+07]
[-1.3662228628935e+07, -1.3662228628935e+07]
[-1.3661137724628e+07, -1.3661137724628e+07]
[-1.3660044943425e+07, -1.3660044943425e+07]
[-1.3658950291249e+07, -1.3658950291249e+07]
[-1.3657853774030e+07, -1.3657853774030e+07]
[-1.3656755397704e+07, -1.3656755397704e+07]
[-1.3655655168211e+07, -1.3655655168211e+07]
[-1.3654553091495e+07, -1.3654553091495e+07]
[-1.3653449173506e+07, -1.3653449173506e+07]
[-1.3652343420200e+07, -1.3652343420200e+07]
[-1.3651235837536e+07, -1.3651235837536e+07]
[-1.3650126431478e+07, -1.3650126431478e+07]
[-1.3649015207997e+07, -1.3649015207997e+07]
[-1.3647902173065e+07, -1.3647902173065e+07]
[-1.3646787332662e+07, -1.3646787332662e+07]
[-1.3645670692771e+07, -1.3645670692771e+07]
[-1.3644552259380e+07, -1.3644552259380e+07]
[-1.3643432038480e+07, -1.3643432038480e+07]
[-1.3642310036069e+07, -1.3642310036069e+07]
[-1.3641186258147e+07, -1.3641186258147e+07]
[-1.3640060710720e+07, -1.3640060710720e+07]
[-1.3638933399798e+07, -1.3638933399798e+07]
[-1.3637804331393e+07, -1.3637804331393e+07]
[-1.3636673511525e+07, -1.3636673511525e+07]
[-1.3635540946215e+07, -1.3635540946215e+07]
[-1.3634406641490e+07, -1.3634406641490e+07]
[-1.3633270603379e+07, -1.3633270603379e+07]
[-1.3632132837916e+07, -1.3632132837916e+07]
[-1.3630993351139e+07, -1.3630993351139e+07]
[-1.3629852149091e+07, -1.3629852149091e+07]
[-1.3628709237816e+07, -1.3628709237816e+07]
[-1.3627564623364e+07, -1.3627564623364e+07]
[-1.3626418311788e+07, -1.3626418311788e+07]
[-1.3625270309143e+07, -1.3625270309143e+07]
[-1.3624120621491e+07, -1.3624120621491e+07]
[-1.3622969254895e+07, -1.3622969254895e+07]
[-1.3621816215422e+07, -1.3621816215422e+07]
[-1.3620661509142e+07, -1.3620661509142e+07]
[-1.3619505142129e+07, -1.3619505142129e+07]
[-1.3618347120460e+07, -1.3618347120460e+07]
[-1.3617187450216e+07, -1.3617187450216e+07]
[-1.3616026137480e+07, -1.3616026137480e+07]
[-1.3614863188338e+07, -1.3614863188338e+07]
[-1.3613698608881e+07, -1.3613698608881e+07]
[-1.3612532405202e+07, -1.3612532405202e+07]
[-1.3611364583395e+07, -1.3611364583395e+07]
[-1.3610195149560e+07, -1.3610195149560e+07]
[-1.3609024109798e+07, -1.3609024109798e+07]
[-1.3607851470214e+07, -1.3607851470214e+07]
[-1.3606677236915e+07, -1.3606677236915e+07]
[-1.3605501416011e+07, -1.3605501416011e+07]
[-1.3604324013614e+07, -1.3604324013614e+07]
[-1.3603145035840e+07, -1.3603145035840e+07]
[-1.3601964488806e+07, -1.3601964488806e+07]
[-1.3600782378633e+07, -1.3600782378633e+07]
[-1.3599598711443e+07, -1.3599598711443e+07]
[-1.3598413493362e+07, -1.3598413493362e+07]
[-1.3597226730517e+07, -1.3597226730517e+07]
[-1.3596038429037e+07, -1.3596038429037e+07]
[-1.3594848595056e+07, -1.3594848595056e+07]
[-1.3593657234707e+07, -1.3593657234707e+07]
[-1.3592464354128e+07, -1.3592464354128e+07]
[-1.3591269959455e+07, -1.3591269959455e+07]
[-1.3590074056831e+07, -1.3590074056831e+07]
[-1.3588876652397e+07, -1.3588876652397e+07]
[-1.3587677752299e+07, -1.3587677752299e+07]
[-1.3586477362682e+07, -1.3586477362682e+07]
[-1.3585275489696e+07, -1.3585275489696e+07]
[-1.3584072139490e+07, -1.3584072139490e+07]
[-1.3582867318217e+07, -1.3582867318217e+07]
[-1.3581661032029e+07, -1.3581661032029e+07]
[-1.3580453287083e+07, -1.3580453287083e+07]
[-1.3579244089535e+07, -1.3579244089535e+07]
[-1.3578033445544e+07, -1.3578033445544e+07]
[-1.3576821361270e+07, -1.3576821361270e+07]
[-1.3575607842874e+07, -1.3575607842874e+07]
[-1.3574392896519e+07, -1.3574392896519e+07]
[-1.3573176528369e+07, -1.3573176528369e+07]
[-1.3571958744590e+07, -1.3571958744590e+07]
[-1.3570739551349e+07, -1.3570739551349e+07]
[-1.3569518954814e+07, -1.3569518954814e+07]
[-1.3568296961153e+07, -1.3568296961153e+07]
[-1.3567073576537e+07, -1.3567073576537e+07]
[-1.3565848807139e+07, -1.3565848807139e+07]
[-1.3564622659129e+07, -1.3564622659129e+07]
[-1.3563395138681e+07, -1.3563395138681e+07]
[-1.3562166251970e+07, -1.3562166251970e+07]
[-1.3560936005171e+07, -1.3560936005171e+07]
[-1.3559704404460e+07, -1.3559704404460e+07]
[-1.3558471456013e+07, -1.3558471456013e+07]
[-1.3557237166009e+07, -1.3557237166009e+07]
[-1.3556001540625e+07, -1.3556001540625e+07]
[-1.3554764586041e+07, -1.3554764586041e+07]
[-1.3553526308435e+07, -1.3553526308435e+07]
[-1.3552286713988e+07, -1.3552286713988e+07]
[-1.3551045808880e+07, -1.3551045808880e+07]
[-1.3549803599292e+07, -1.3549803599292e+07]
[-1.3548560091406e+07, -1.3548560091406e+07]
[-1.3547315291403e+07, -1.3547315291403e+07]
[-1.3546069205466e+07, -1.3546069205466e+07]
[-1.3544821839776e+07, -1.3544821839776e+07]
[-1.3543573200516e+07, -1.3543573200516e+07]
[-1.3542323293869e+07, -1.3542323293869e+07]
[-1.3541072126018e+07, -1.3541072126018e+07]
[-1.3539819703145e+07, -1.3539819703145e+07]
[-1.3538566031434e+07, -1.3538566031434e+07]
[-1.3537311117067e+07, -1.3537311117067e+07]
[-1.3536054966228e+07, -1.3536054966228e+07]
[-1.3534797585098e+07, -1.3534797585098e+07]
[-1.3533538979862e+07, -1.3533538979862e+07]
[-1.3532279156700e+07, -1.3532279156700e+07]
[-1.3531018121795e+07, -1.3531018121795e+07]
[-1.3529755881330e+07, -1.3529755881330e+07]
[-1.3528492441486e+07, -1.3528492441486e+07]
[-1.3527227808443e+07, -1.3527227808443e+07]
[-1.3525961988384e+07, -1.3525961988384e+07]
[-1.3524694987487e+07, -1.3524694987487e+07]
[-1.3523426811934e+07, -1.3523426811934e+07]
[-1.3522157467903e+07, -1.3522157467903e+07]
[-1.3520886961572e+07, -1.3520886961572e+07]
[-1.3519615299121e+07, -1.3519615299121e+07]
[-1.3518342486726e+07, -1.3518342486726e+07]
[-1.3517068530564e+07, -1.3517068530564e+07]
[-1.3515793436812e+07, -1.3515793436812e+07]
[-1.3514517211643e+07, -1.3514517211643e+07]
[-1.3513239861232e+07, -1.3513239861232e+07]
[-1.3511961391753e+07, -1.3511961391753e+07]
[-1.3510681809377e+07, -1.3510681809377e+07]
[-1.3509401120277e+07, -1.3509401120277e+07]
[-1.3508119330623e+07, -1.3508119330623e+07]
[-1.3506836446584e+07, -1.3506836446584e+07]
[-1.3505552474327e+07, -1.3505552474327e+07]
[-1.3504267420021e+07, -1.3504267420021e+07]
[-1.3502981289831e+07, -1.3502981289831e+07]
[-1.3501694089922e+07, -1.3501694089922e+07]
[-1.3500405826456e+07, -1.3500405826456e+07]
[-1.3499116505596e+07, -1.3499116505596e+07]
[-1.3497826133503e+07, -1.3497826133503e+07]
[-1.3496534716336e+07, -1.3496534716336e+07]
[-1.3495242260252e+07, -1.3495242260252e+07]
[-1.3493948771408e+07, -1.3493948771408e+07]
[-1.3492654255959e+07, -1.3492654255959e+07]
[-1.3491358720057e+07, -1.3491358720057e+07]
[-1.3490062169854e+07, -1.3490062169854e+07]
