[+7.1117506308535e+06, +9.4658571035433e+05, +0.0000000000000e+00; +4.9605968809880e-21, +2.1983501822200e-22, +0.0000000000000e+00]
[+7.1098232446591e+06, +9.6176657269391e+05, +0.0000000000000e+00; +5.1219654505102e-21, +2.3063535900340e-22, +0.0000000000000e+00]
[+7.1078651663583e+06, +9.7694328322301e+05, +0.0000000000000e+00; +5.2859036873487e-21, +2.4178330615406e-22, +0.0000000000000e+00]
[+7.1058764058182e+06, +9.9211577662032e+05, +0.0000000000000e+00; +5.4524107653873e-21, +2.5328432863878e-22, +0.0000000000000e+00]
[+7.1038569730589e+06, +1.0072839875917e+06, +0.0000000000000e+00; +5.6214858457060e-21, +2.6514389314405e-22, +0.0000000000000e+00]
[+7.1018068782532e+06, +1.0224478508708e+06, +0.0000000000000e+00; +5.7931280765890e-21, +2.7736746404336e-22, +0.0000000000000e+00]
[+7.0997261317269e+06, +1.0376073012190e+06, +0.0000000000000e+00; +5.9673365935320e-21, +2.8996050336261e-22, +0.0000000000000e+00]
[+7.0976147439581e+06, +1.0527622734265e+06, +0.0000000000000e+00; +6.1441105192505e-21, +3.0292847074549e-22, +0.0000000000000e+00]
[+7.0954727255777e+06, +1.0679127023120e+06, +0.0000000000000e+00; +6.3234489636873e-21, +3.1627682341895e-22, +0.0000000000000e+00]
[+7.0933000873691e+06, +1.0830585227238e+06, +0.0000000000000e+00; +6.5053510240209e-21, +3.3001101615863e-22, +0.0000000000000e+00]
[+7.0910968402679e+06, +1.0981996695397e+06, +0.0000000000000e+00; +6.6898157846734e-21, +3.4413650125439e-22, +0.0000000000000e+00]
[+7.0888629953619e+06, +1.1133360776676e+06, +0.0000000000000e+00; +6.8768423173191e-21, +3.5865872847588e-22, +0.0000000000000e+00]
[+7.0865985638914e+06, +1.1284676820461e+06, +0.0000000000000e+00; +7.0664296808926e-21, +3.7358314503805e-22, +0.0000000000000e+00]
[+7.0843035572484e+06, +1.1435944176444e+06, +0.0000000000000e+00; +7.2585769215975e-21, +3.8891519556677e-22, +0.0000000000000e+00]
[+7.0819779869771e+06, +1.1587162194634e+06, +0.0000000000000e+00; +7.4532830729151e-21, +4.0466032206451e-22, +0.0000000000000e+00]
[+7.0796218647734e+06, +1.1738330225355e+06, +0.0000000000000e+00; +7.6505471556127e-21, +4.2082396387597e-22, +0.0000000000000e+00]
[+7.0772352024849e+06, +1.1889447619253e+06, +0.0000000000000e+00; +7.8503681777530e-21, +4.3741155765382e-22, +0.0000000000000e+00]
[+7.0748180121111e+06, +1.2040513727300e+06, +0.0000000000000e+00; +8.0527451347027e-21, +4.5442853732441e-22, +0.0000000000000e+00]
[+7.0723703058028e+06, +1.2191527900797e+06, +0.0000000000000e+00; +8.2576770091417e-21, +4.7188033405359e-22, +0.0000000000000e+00]
[+7.0698920958623e+06, +1.2342489491380e+06, +0.0000000000000e+00; +8.4651627710723e-21, +4.8977237621250e-22, +0.0000000000000e+00]
[+7.0673833947432e+06, +1.2493397851023e+06, +0.0000000000000e+00; +8.6752013778284e-21, +5.0811008934346e-22, +0.0000000000000e+00]
[+7.0648442150503e+06, +1.2644252332039e+06, +0.0000000000000e+00; +8.8877917740851e-21, +5.2689889612579e-22, +0.0000000000000e+00]
[+7.0622745695395e+06, +1.2795052287091e+06, +0.0000000000000e+00; +9.1029328918678e-21, +5.4614421634185e-22, +0.0000000000000e+00]
[+7.0596744711177e+06, +1.2945797069190e+06, +0.0000000000000e+00; +9.3206236505624e-21, +5.6585146684289e-22, +0.0000000000000e+00]
[+7.0570439328425e+06, +1.3096486031701e+06, +0.0000000000000e+00; +9.5408629569244e-21, +5.8602606151517e-22, +0.0000000000000e+00]
[+7.0543829679224e+06, +1.3247118528348e+06, +0.0000000000000e+00; +9.7636497050895e-21, +6.0667341124590e-22, +0.0000000000000e+00]
