[+1.4375883242277e+07, +4.1519641547162e-19]
[+1.4374119169544e+07, +4.1789715044096e-19]
[+1.4372350261734e+07, +4.2060537427608e-19]
[+1.4370576529156e+07, +4.2332107116865e-19]
[+1.4368797982139e+07, +4.2604422527717e-19]
[+1.4367014631036e+07, +4.2877482072710e-19]
[+1.4365226486220e+07, +4.3151284161108e-19]
[+1.4363433558084e+07, +4.3425827198904e-19]
[+1.4361635857043e+07, +4.3701109588846e-19]
[+1.4359833393533e+07, +4.3977129730447e-19]
[+1.4358026178009e+07, +4.4253886020007e-19]
[+1.4356214220949e+07, +4.4531376850626e-19]
[+1.4354397532849e+07, +4.4809600612227e-19]
[+1.4352576124228e+07, +4.5088555691568e-19]
[+1.4350750005622e+07, +4.5368240472265e-19]
[+1.4348919187590e+07, +4.5648653334803e-19]
[+1.4347083680709e+07, +4.5929792656558e-19]
[+1.4345243495577e+07, +4.6211656811815e-19]
[+1.4343398642812e+07, +4.6494244171782e-19]
[+1.4341549133050e+07, +4.6777553104609e-19]
[+1.4339694976947e+07, +4.7061581975408e-19]
[+1.4337836185181e+07, +4.7346329146266e-19]
[+1.4335972768447e+07, +4.7631792976265e-19]
[+1.4334104737458e+07, +4.7917971821501e-19]
[+1.4332232102948e+07, +4.8204864035099e-19]
[+1.4330354875670e+07, +4.8492467967231e-19]
[+1.4328473066396e+07, +4.8780781965133e-19]
[+1.4326586685915e+07, +4.9069804373126e-19]
[+1.4324695745036e+07, +4.9359533532628e-19]
[+1.4322800254587e+07, +4.9649967782177e-19]
[+1.4320900225413e+07, +4.9941105457444e-19]
[+1.4318995668377e+07, +5.0232944891255e-19]
[+1.4317086594363e+07, +5.0525484413603e-19]
[+1.4315173014270e+07, +5.0818722351672e-19]
[+1.4313254939016e+07, +5.1112657029850e-19]
[+1.4311332379537e+07, +5.1407286769746e-19]
[+1.4309405346786e+07, +5.1702609890213e-19]
[+1.4307473851736e+07, +5.1998624707358e-19]
[+1.4305537905374e+07, +5.2295329534567e-19]
[+1.4303597518707e+07, +5.2592722682518e-19]
[+1.4301652702757e+07, +5.2890802459198e-19]
[+1.4299703468566e+07, +5.3189567169925e-19]
[+1.4297749827191e+07, +5.3489015117360e-19]
[+1.4295791789706e+07, +5.3789144601531e-19]
[+1.4293829367202e+07, +5.4089953919843e-19]
[+1.4291862570787e+07, +5.4391441367102e-19]
[+1.4289891411585e+07, +5.4693605235529e-19]
[+1.4287915900738e+07, +5.4996443814781e-19]
[+1.4285936049402e+07, +5.5299955391962e-19]
[+1.4283951868751e+07, +5.5604138251648e-19]
[+1.4281963369975e+07, +5.5908990675902e-19]
[+1.4279970564278e+07, +5.6214510944287e-19]
[+1.4277973462883e+07, +5.6520697333891e-19]
[+1.4275972077027e+07, +5.6827548119341e-19]
[+1.4273966417962e+07, +5.7135061572818e-19]
[+1.4271956496956e+07, +5.7443235964079e-19]
[+1.4269942325294e+07, +5.7752069560472e-19]
[+1.4267923914275e+07, +5.8061560626955e-19]
[+1.4265901275212e+07, +5.8371707426111e-19]
[+1.4263874419436e+07, +5.8682508218168e-19]
[+1.4261843358291e+07, +5.8993961261018e-19]
[+1.4259808103135e+07, +5.9306064810229e-19]
[+1.4257768665343e+07, +5.9618817119066e-19]
[+1.4255725056304e+07, +5.9932216438511e-19]
[+1.4253677287420e+07, +6.0246261017274e-19]
[+1.4251625370110e+07, +6.0560949101818e-19]
[+1.4249569315804e+07, +6.0876278936369e-19]
[+1.4247509135949e+07, +6.1192248762940e-19]
[+1.4245444842005e+07, +6.1508856821345e-19]
[+1.4243376445446e+07, +6.1826101349215e-19]
[+1.4241303957760e+07, +6.2143980582021e-19]
[+1.4239227390448e+07, +6.2462492753084e-19]
[+1.4237146755025e+07, +6.2781636093601e-19]
[+1.4235062063021e+07, +6.3101408832653e-19]
[+1.4232973325977e+07, +6.3421809197230e-19]
[+1.4230880555448e+07, +6.3742835412246e-19]
[+1.4228783763004e+07, +6.4064485700553e-19]
[+1.4226682960224e+07, +6.4386758282965e-19]
[+1.4224578158705e+07, +6.4709651378269e-19]
[+1.4222469370054e+07, +6.5033163203246e-19]
[+1.4220356605889e+07, +6.5357291972688e-19]
[+1.4218239877845e+07, +6.5682035899414e-19]
[+1.4216119197565e+07, +6.6007393194287e-19]
[+1.4213994576708e+07, +6.6333362066235e-19]
[+1.4211866026942e+07, +6.6659940722263e-19]
[+1.4209733559951e+07, +6.6987127367475e-19]
[+1.4207597187428e+07, +6.7314920205087e-19]
[+1.4205456921078e+07, +6.7643317436448e-19]
[+1.4203312772620e+07, +6.7972317261056e-19]
[+1.4201164753782e+07, +6.8301917876573e-19]
[+1.4199012876305e+07, +6.8632117478846e-19]
[+1.4196857151943e+07, +6.8962914261920e-19]
[+1.4194697592458e+07, +6.9294306418061e-19]
[+1.4192534209626e+07, +6.9626292137766e-19]
[+1.4190367015232e+07, +6.9958869609787e-19]
[+1.4188196021075e+07, +7.0292037021141e-19]
[+1.4186021238961e+07, +7.0625792557134e-19]
